"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"1",1,2,342,526,3,3,535,2,0
"2",0,0,5,6,0,0,5,0,0
"3",0,0,0,0,0,0,1,0,0
"4",0,1,0,0,17,2,0,1,0
"5",1,1,76,40,33,14,98,18,8
"6",431,771,1368,1268,1564,769,818,468,342
"7",768,1722,2517,1923,3865,1888,1830,1246,693
"8",4,8,6,2,11,11,3,9,2
"9",810,977,2472,1870,2251,1716,1932,756,619
"10",452,358,17,14,622,571,12,203,224
"11",1716,2678,2097,2071,5499,3630,1731,1715,1251
"12",0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0
"14",3451,2699,3399,2716,5233,6280,3647,1866,2122
"15",0,0,2,3,0,0,0,0,0
"16",0,0,0,1,0,0,0,0,0
"17",2026,2033,3920,2715,3873,3688,3593,1609,1348
"18",0,0,1,5,0,0,4,0,0
"19",956,985,5497,4214,3462,2933,5336,649,731
"20",54,76,46,32,148,126,59,44,27
"21",16,28,12,12,67,24,14,18,11
"22",21,9,21,44,35,34,29,8,15
"23",194,166,1007,862,632,594,901,100,131
"24",2390,2012,3500,3020,5412,4404,4173,1585,1522
"25",3,2,4,1,1,5,2,3,0
"26",87,323,734,565,721,249,666,267,113
"27",71,194,383,206,307,110,206,112,50
"28",0,0,9,8,3,1,7,0,1
"29",289,487,824,565,709,517,662,335,271
"30",4,6,54,10,18,19,43,9,6
"31",16,25,67,92,51,45,55,12,5
"32",3,3,9,12,7,0,8,2,3
"33",1,0,2,0,5,0,0,0,2
"34",1804,2499,4073,3409,5545,3344,3020,1731,1264
"35",745,826,1373,1008,1740,2137,1695,759,624
"36",6696,7131,11369,7972,17002,15128,11439,4956,4260
"37",2,0,802,553,0,3,616,0,1
"38",41,94,333,240,368,292,695,106,68
"39",0,2,45,40,5,0,40,0,1
"40",0,0,0,0,0,0,0,0,0
"41",106,103,2214,2008,152,232,2997,48,52
"42",12,6,22,34,22,21,47,6,4
"43",12,6,13,30,15,13,14,1,2
"44",4445,5657,6923,6358,12641,7967,7380,3986,2972
"45",5442,5371,6222,5709,13524,13690,6145,2981,3710
"46",334,890,379,354,1607,848,277,719,318
"47",1,1,0,0,1,1,0,0,2
"48",0,5,19,3,4,1,3,0,0
"49",1,1,1139,1001,8,24,948,9,10
"50",26,223,7,2,210,40,8,112,31
"51",0,0,0,0,0,0,0,0,0
"52",0,0,1,0,0,1,4,0,0
"53",266,375,822,520,633,445,540,364,217
"54",8,19,4535,3779,35,53,3958,15,10
"55",2,5,9,1,0,0,3,0,0
"56",0,0,6,10,1,0,10,0,0
"57",17590,16480,35401,24296,30991,24258,25488,7619,8469
"58",1514,1605,3883,4272,2751,2818,2650,718,646
"59",770,751,1586,1236,1665,1275,1343,422,478
"60",525,637,1749,1452,1584,1184,1771,449,375
"61",876,1449,4133,3742,3515,2454,4085,1289,847
"62",0,1,3,0,1,0,2,0,1
"63",376,680,1334,1199,1295,606,1097,416,296
"64",121,107,67,57,246,311,85,74,89
"65",201,70,407,339,159,293,334,23,62
"66",6,1,9,8,4,12,7,1,1
"67",34,36,2260,746,32,193,2014,79,49
"68",51,51,3951,2882,38,195,3463,17,43
"69",0,0,0,0,0,0,0,0,0
"70",1,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0
"74",0,0,0,0,1,0,0,0,0
"75",2049,3096,4580,4724,6743,2853,3424,2921,1635
"76",2,5,1,0,49,8,1,8,6
"77",0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0
"81",0,3,1,2,2,0,1,0,0
"82",543,993,5818,5171,2282,954,2878,350,244
"83",1,1,0,1,0,0,0,2,0
"84",42,109,337,305,205,62,412,93,33
"85",41,74,206,241,166,97,236,53,41
"86",228,141,343,382,326,304,332,70,146
"87",40,91,168,191,194,70,151,47,25
"88",11,8,9,7,14,11,8,8,6
"89",0,0,0,1,0,0,0,0,0
"90",0,0,0,2,0,0,2,0,0
"91",0,0,0,2,1,0,1,0,0
"92",0,0,3,8,0,0,9,0,0
"93",3,3,2434,2530,14,32,2680,7,5
"94",1,0,28,17,0,1,17,0,2
"95",2,1,0,0,1,1,0,0,0
"96",0,0,0,0,0,0,0,0,0
"97",1,2,2,1,0,4,1,1,2
"98",5413,1212,1081,907,4696,9303,770,610,3743
"99",10,0,0,0,5,11,0,0,3
"100",131,110,181,82,162,224,276,103,99
"101",604,839,2184,2182,2202,1500,2226,641,496
"102",64,275,322,303,516,144,186,177,77
"103",898,1106,2803,1809,2213,1974,3089,891,686
"104",4396,1043,4140,2407,4711,8704,3449,405,2175
"105",11,3,5,6,4,19,8,2,6
"106",2921,2754,2736,3238,6770,6069,3013,1762,1705
"107",2,0,0,1,1,3,0,0,0
"108",0,0,0,0,0,0,0,0,0
"109",0,0,1,1,0,0,1,1,0
"110",0,0,0,0,0,0,0,0,0
"111",85,133,580,364,234,144,299,67,51
"112",0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0
"115",5244,5390,7186,5872,12670,9954,7246,4079,3568
"116",2634,1875,4415,3846,4832,6257,4491,1375,1384
"117",0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0
"120",1,0,0,1,2,1,1,0,0
"121",7,6,20,26,21,15,14,3,6
"122",0,1,63,20,0,0,30,0,0
"123",1,0,0,0,0,0,2,0,0
"124",0,0,0,0,0,0,5,0,0
"125",425,527,1871,1608,1103,632,1158,275,248
"126",11,12,27,8,11,10,13,4,2
"127",195,396,873,884,959,512,744,215,149
"128",452,727,2229,2342,1899,1310,2439,421,418
"129",965,733,1479,1102,1914,2268,2052,487,628
"130",210,343,658,528,673,430,579,203,134
"131",5,6,7,11,21,21,15,4,6
"132",12154,36805,75673,98971,74010,40515,127384,23313,10089
"133",0,1,3,7,2,1,0,0,0
"134",269,267,486,467,787,700,469,184,189
"135",1205,1389,2630,2019,3183,2214,2052,738,701
"136",536,569,855,731,1560,1160,932,373,332
"137",2609,1436,100,88,3325,4426,96,794,1488
"138",19,3,0,0,11,52,0,0,4
"139",0,0,0,0,0,0,0,0,0
"140",0,0,1,2,0,0,3,0,0
"141",0,0,0,0,0,0,0,0,0
"142",0,0,0,2,0,0,1,0,0
"143",143,99,1050,827,260,247,1075,71,87
"144",7146,7138,17154,16917,18231,13286,14957,4825,3979
"145",1401,5449,1849,1723,9536,3077,2228,2852,1156
"146",6546,3199,11884,10735,12760,13225,11066,1542,2834
"147",3904,7683,10767,10098,15468,7708,8959,4094,2631
"148",18,24,96,76,80,50,163,35,21
"149",4169,7822,22584,27869,16088,10102,20614,5588,2487
"150",3566,3687,5341,4537,8724,7618,6168,2257,2123
"151",940,1836,1088,994,3411,1518,916,1101,548
"152",1503,1364,3871,3959,2932,2881,2684,561,688
"153",720,869,691,722,1697,864,487,538,419
"154",153,380,266,219,575,300,319,251,141
"155",162,356,322,253,559,243,261,273,134
"156",5911,15144,11940,6902,30968,11839,10124,9508,2987
"157",51,87,115,57,191,58,69,78,25
"158",248,554,763,701,1067,607,573,326,204
"159",2775,3663,7464,6123,7633,4973,6961,2203,1553
"160",4,2,17,10,8,6,25,3,1
"161",2,2,23,15,7,7,47,0,2
"162",3505,4067,9045,8572,9826,5988,8408,2648,2181
"163",2,8,12,11,8,5,12,7,0
"164",1,3,38,34,4,3,66,1,0
"165",845,716,2493,1924,1527,1615,2777,407,443
"166",2761,3893,2935,3096,8012,4584,2252,2346,1618
"167",602,1113,1165,978,2279,1469,1063,649,414
"168",5350,1521,2438,2554,6227,14105,2530,581,2331
"169",177,194,509,359,506,439,423,89,109
"170",0,0,0,0,0,0,0,0,0
"171",2008,1150,66,60,2862,2492,52,693,1015
"172",3,1,0,0,0,3,0,0,0
"173",91,100,80,51,195,155,79,75,59
"174",69,86,91,56,141,91,90,58,59
"175",135,243,522,410,402,239,491,252,144
"176",520,834,1573,1394,1797,827,1217,573,358
"177",0,0,0,0,0,0,1,0,0
"178",1,0,3,1,0,0,2,0,0
"179",1803,1727,2395,2068,4950,4132,2473,1189,1311
"180",6527,4386,10599,7137,14734,14506,12183,3564,4416
"181",688,574,1426,975,1519,1628,1689,502,410
"182",18,31,669,773,22,101,718,15,26
"183",0,1,4,6,0,4,2,1,0
"184",44,23,79,81,44,37,39,10,16
"185",0,0,1,0,0,0,1,0,0
"186",0,0,0,0,0,0,0,0,0
"187",1416,2417,4162,3373,4454,2605,3789,1539,1267
"188",658,333,35,42,934,1288,41,184,436
"189",351,472,810,498,835,601,533,168,157
"190",2158,2471,1056,1023,5445,5047,981,1460,1322
"191",483,634,2420,2221,1755,1295,2421,400,311
"192",36,15,91,52,19,57,95,8,6
"193",3246,2234,11473,7530,6493,8532,11746,1320,1765
"194",2,0,113,91,1,6,145,0,0
"195",2,2,3,3,4,1,7,0,3
"196",0,0,2,0,0,0,1,1,0
"197",1,1,0,0,0,0,0,0,0
"198",8639,5904,20216,14858,16180,13034,16675,3914,4621
"199",0,0,2,5,1,0,2,1,0
"200",14,37,21,37,26,132,49,25,24
"201",1180,1922,538,580,3381,2004,854,1263,895
"202",214,251,853,689,531,420,724,180,155
"203",19,18,99,100,31,79,236,20,16
"204",575,1439,107,115,2893,1389,204,1223,570
"205",97,123,12,11,79,104,23,19,16
"206",74,17,7,8,52,141,20,1,25
"207",183,54,51,53,175,296,38,25,83
"208",113,118,110,116,247,148,71,49,68
"209",1,1,39,10,4,0,22,5,1
"210",0,0,0,0,0,0,0,0,0
"211",0,0,0,0,0,0,0,0,0
"212",0,0,1,3,3,1,1,0,0
"213",0,0,0,0,0,1,0,0,0
"214",856,1138,1695,1340,2141,1275,1142,791,578
"215",0,1,3,5,1,0,1,1,0
"216",1029,1201,1480,1850,3097,2369,1373,836,601
"217",315,645,914,1137,1325,588,691,461,232
"218",1016,1519,5131,3973,1630,1605,7806,583,912
"219",411,623,1238,883,1445,859,946,321,236
"220",3434,15170,4989,4541,22253,6804,4039,9051,2938
"221",12,15,6,6,30,38,7,23,12
"222",89,60,8603,8794,140,192,7439,22,51
"223",285,758,658,413,1396,510,374,409,206
"224",1345,1661,2018,1507,2832,1884,1321,744,599
"225",3367,3219,7981,5349,8862,8863,9938,2625,2709
"226",1,1,4,3,0,9,5,1,2
"227",476,443,1168,1003,1170,1056,799,237,310
"228",268,433,3440,3102,1179,660,2899,386,238
"229",218,393,489,535,752,316,288,232,182
"230",674,666,1912,1887,1500,1192,1925,485,549
"231",0,0,0,0,0,0,0,0,0
"232",0,0,0,2,0,0,0,0,0
"233",327,126,2283,1652,548,561,2325,69,213
"234",0,0,1,3,1,8,13,0,2
"235",2776,10200,10360,14370,4288,32520,17412,1453,5010
"236",293,822,15313,15611,412,3121,14692,194,514
"237",960,1216,3325,2593,3065,2400,4184,865,684
"238",977,1197,4455,5118,2953,1890,4256,814,750
"239",146,316,118,186,673,241,154,197,95
"240",1,2,1,1,2,1,0,3,0
"241",0,1,0,0,1,0,0,0,0
"242",11,82,430,291,116,36,638,45,20
"243",2,3,46,40,13,2,53,5,2
"244",425,1028,9105,6660,2555,1455,9091,856,425
"245",0,0,0,0,0,0,0,0,0
"246",27,48,274,229,16,143,239,6,36
"247",0,0,4,3,2,0,4,0,0
"248",472,542,10920,9440,1571,662,7997,799,866
"249",11802,11139,4769,4644,11034,13983,3996,5707,5787
"250",29,34,1,1,22,25,1,16,17
"251",2134,4746,4660,3336,8600,4611,4415,3273,1900
"252",8,40,16,14,107,21,25,31,16
"253",11,11,27,35,52,41,33,5,6
"254",1229,2324,1905,1491,4460,2305,2013,1391,867
"255",6317,5127,19466,14218,13219,15170,18861,4026,4220
"256",7760,4422,6029,3783,13695,14812,5436,2942,4152
"257",234,395,360,304,550,271,246,300,173
"258",5772,3361,2669,2939,9736,10408,2577,2011,3026
"259",545,401,961,849,814,828,704,226,395
"260",468,692,1436,962,1346,802,991,507,349
"261",18,6,519,333,17,23,466,6,10
"262",0,1,1,0,2,0,0,0,0
"263",0,0,0,3,2,2,1,0,1
"264",167,236,358,210,410,241,231,176,123
"265",287,728,387,368,1388,408,168,439,215
"266",92,177,434,296,349,167,331,146,81
"267",979,1153,1656,1029,2065,1400,898,701,589
"268",2,10,25,17,4,4,32,2,0
"269",565,888,1877,1560,1306,899,1564,494,358
"270",28,11,163,120,36,93,236,21,27
"271",5,9,16,8,11,16,15,0,4
"272",374,659,928,740,1202,624,670,468,298
"273",563,1050,1091,853,1838,1148,1056,793,488
"274",376,744,2472,2689,1315,907,3291,521,292
"275",27696,21903,44667,34900,53365,60666,47974,18185,19886
"276",8140,5100,11681,10846,16283,19628,11013,3189,5501
"277",3486,3847,11993,9926,10349,7248,9684,3370,2912
"278",902,1500,4602,2687,2273,1257,2274,980,713
"279",1588,2391,3333,2326,5019,3405,3352,1639,1223
"280",1076,353,564,588,1214,1206,461,160,540
"281",386,285,704,438,647,562,869,124,226
"282",5,0,1,0,9,3,2,0,2
"283",467,57,3914,2531,256,990,3678,49,180
"284",60,201,635,377,275,115,299,81,38
"285",0,0,0,0,0,0,1,0,0
"286",0,0,0,0,0,0,0,0,0
"287",46,14,35,36,38,43,26,12,19
"288",8,3,9,8,6,2,5,4,5
"289",0,0,0,0,0,0,0,0,0
"290",4,4,41,23,8,4,35,2,1
"291",82,43,282,186,117,134,244,26,32
"292",250,300,473,292,502,455,476,267,189
"293",532,655,1002,778,1356,1058,829,383,378
"294",198,701,2381,2898,1400,358,2435,429,205
"295",206,381,371,452,684,324,413,301,172
"296",71,53,577,329,96,83,282,47,59
"297",100,683,802,727,870,289,931,475,186
"298",8,16,16,17,35,73,27,5,18
"299",8,8,5,3,20,31,12,2,3
"300",27,36,3,4,59,92,4,10,8
"301",8010,8983,19951,14591,23534,20494,19906,5491,5557
"302",11255,8942,15682,9037,12854,13233,13029,10000,8146
"303",299,417,876,705,790,477,520,209,174
"304",253,446,709,728,1078,593,592,304,165
"305",503,716,1823,1746,1735,1053,1706,544,339
"306",13,10,5,4,12,13,11,5,4
"307",971,849,634,382,1435,1585,753,622,646
"308",559,1304,1714,957,1752,890,796,598,368
"309",38,29,96,72,111,90,90,36,39
"310",3,3,3,1,3,0,4,1,0
"311",2147,2548,4640,4230,6025,4362,6895,1986,1591
"312",648,1549,1498,1086,3049,1365,1440,1006,596
"313",2656,2679,8898,7925,7694,6517,9953,1680,1677
"314",93,191,499,355,321,168,398,109,68
"315",0,1,0,3,2,0,2,0,0
"316",179,238,1244,1180,639,339,981,151,118
"317",6,6,40,53,23,20,51,4,6
"318",1099,1235,3829,3163,3046,2447,4278,727,681
"319",0,2,39,71,0,2,44,0,0
"320",1509,1239,12705,17406,2024,1864,7968,575,661
"321",27,33,21,21,74,57,24,22,19
"322",1296,1407,2243,1826,3409,2371,2098,1032,822
"323",4442,4687,30546,20775,14008,10574,32831,5887,4300
"324",7,8,12,7,9,5,23,13,8
"325",2,2,7,4,2,4,4,0,2
"326",2101,2314,5035,4281,5175,4046,8001,1556,1212
"327",74,144,359,302,310,238,516,120,66
"328",1239,847,2968,2954,2965,2932,3160,575,914
"329",16,11,81,103,29,51,86,10,14
"330",277,302,1133,811,751,522,777,180,181
"331",128,111,235,165,214,200,249,102,90
"332",27,59,61,80,107,69,67,10,9
"333",1836,2606,3252,2814,4374,3997,4958,2280,1493
"334",686,737,735,769,1829,1168,593,452,397
"335",661,849,3412,2955,2169,1558,2915,574,438
"336",2828,1315,3267,3322,4625,6229,4654,663,1642
"337",8,28,20,9,21,10,7,6,8
"338",8,4,10,10,26,17,8,1,6
"339",1,3,4,3,5,0,7,5,1
"340",0,0,0,0,0,0,0,0,0
"341",0,5,7,9,2,0,6,1,1
"342",1,0,2,1,3,0,6,1,1
"343",0,0,0,0,0,0,0,0,0
"344",723,329,1064,1263,1141,1027,1266,165,337
"345",94,69,2459,1433,346,271,1990,224,96
"346",1,0,16,12,4,2,23,1,2
"347",5442,3698,4932,4695,9339,10278,6978,2621,3070
"348",61,60,87,76,86,99,106,40,34
"349",21,10,16,26,30,46,23,10,7
"350",1260,2576,5116,3945,5201,2788,3953,1583,956
"351",24486,27636,42750,34218,62102,43188,33973,14682,14747
"352",47,38,112,65,66,86,75,27,50
"353",15,9,4,12,6,15,22,6,6
"354",90,108,597,517,599,508,943,62,50
"355",18,41,199,128,30,234,185,11,45
"356",0,0,0,0,2,0,0,0,0
"357",0,3,2,9,1,0,5,1,0
"358",752,886,1674,1476,1962,1525,1264,572,496
"359",5,4,10,10,15,13,11,4,2
"360",4,0,0,1,2,2,4,1,1
"361",1645,398,618,671,868,1257,694,269,1132
"362",2328,2453,3905,2641,4511,3810,3572,1811,1324
"363",108,342,488,520,521,190,331,232,108
"364",27,28,117,92,73,72,60,20,18
"365",418,345,2083,2475,1324,1387,2132,287,241
"366",2858,1427,4702,5957,3872,4606,2989,929,1209
"367",363,560,1541,1909,1380,676,1608,435,275
"368",0,0,0,1,0,4,0,0,0
"369",29,29,61,54,51,44,57,17,25
"370",0,0,0,0,0,0,0,0,0
"371",0,0,0,0,0,0,0,0,0
"372",0,0,0,0,0,0,0,0,0
"373",0,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,1,0,0
"375",3,0,20,15,1,1,26,0,1
"376",963,1025,2602,2263,2502,2491,2236,539,618
"377",1077,1295,2002,1614,2717,2461,2758,1022,763
"378",0,1,4,3,2,1,1,0,0
"379",0,0,0,0,0,0,0,0,0
"380",7245,2034,10065,8958,6692,11583,11263,1020,4451
"381",3,0,2,2,4,3,3,0,0
"382",700,123,226,174,268,909,286,30,145
"383",1135,1413,2030,1391,2677,1843,1359,1039,729
"384",1429,651,5148,3918,2128,3746,6315,456,811
"385",4392,3838,12417,7930,8618,8303,8048,1869,2219
"386",31,6,12,3,13,28,24,7,15
"387",0,2,10,5,25,1,1,9,0
"388",900,1492,4103,2981,2974,1580,2942,921,585
"389",0,0,1,0,3,1,0,0,0
"390",630,213,15,17,723,743,33,105,271
"391",0,0,0,0,0,0,0,0,0
"392",482,267,1010,861,626,591,1423,227,404
"393",0,0,0,1,0,0,2,0,0
"394",0,0,0,0,0,0,0,0,0
"395",45,64,680,552,117,92,513,31,35
"396",5,3,184,206,9,7,195,97,5
"397",1843,2470,5869,5294,5195,2715,3541,1415,1010
"398",3307,4295,7487,7688,1995,14451,9806,830,2621
"399",0,0,1,1,0,0,0,0,0
"400",3,1,0,2,0,0,0,0,0
"401",0,2,0,1,0,0,0,0,0
"402",10,10,26,7,9,7,7,2,0
"403",54,27,2101,1402,100,181,1388,71,14
"404",202,251,691,537,593,375,484,121,125
"405",0,0,42,30,2,2,23,1,0
"406",407,823,3835,3621,2125,990,3192,598,361
"407",1,0,46,42,1,3,29,0,0
"408",757,808,2083,2048,1648,1062,1610,585,514
"409",0,0,1,1,0,0,2,0,1
"410",441,521,925,594,778,609,588,217,227
"411",49,45,26083,21655,119,505,18997,24,69
"412",356596,72314,261496,318361,302090,483803,348103,31343,168175
"413",0,0,1,0,0,0,0,0,0
"414",0,0,0,0,0,0,1,0,1
"415",1481,116,238,149,486,2209,249,46,614
"416",98,9,9,15,52,159,18,2,49
"417",0,0,26,10,0,1,28,0,0
"418",570,287,9509,15233,1088,1227,11320,375,315
"419",16,9,263,242,50,44,713,9,16
"420",0,0,0,0,0,0,0,0,0
"421",3,4,9,10,2,1,7,0,0
"422",0,0,0,0,0,0,0,0,0
"423",0,0,0,0,0,0,0,0,0
"424",4978,6817,12435,11568,16634,11393,11242,4397,3707
"425",4,1,5,4,3,7,8,0,0
"426",5096,6560,10794,8273,13595,8997,9237,3431,2876
"427",285,366,1197,984,823,578,1028,224,141
"428",7521,5617,5858,4933,14632,14064,9552,3159,4471
"429",1,1,18,18,2,8,15,1,1
"430",6,3,27,39,20,10,52,13,7
"431",1727,1862,3257,3510,4315,3035,2665,1187,1132
"432",0,1,0,2,5,0,3,2,0
"433",12,9,35,63,19,16,61,5,3
"434",1540,2295,5038,3482,6101,4342,6515,2034,1373
"435",777,1281,2917,2516,3076,1766,1863,738,505
"436",10,14,215,311,85,67,171,10,12
"437",1075,1013,4501,4176,3201,2812,4558,686,735
"438",479,534,776,731,1084,652,493,279,251
"439",649,1066,1500,1345,2391,1579,2007,763,536
"440",163,389,341,295,795,279,408,234,129
"441",1273,1416,1983,1566,3232,2564,3058,1105,1018
"442",19,42,286,284,54,51,371,35,25
"443",1,0,153,43,1,7,70,0,0
"444",33,12,4942,3058,27,69,1810,10,24
"445",3,10,6291,4704,27,22,5981,25,6
"446",0,0,16,7,2,2,14,0,0
"447",0,0,0,0,0,0,0,0,0
"448",1,0,0,0,0,0,0,0,0
"449",0,0,0,0,0,0,0,0,0
"450",2,1,0,1,1,1,1,0,2
"451",11,10,7,12,20,4,12,2,3
"452",77,78,198,159,200,170,164,57,52
"453",43,58,68,129,144,104,111,32,23
"454",1802,1871,1415,1535,3611,2798,1090,1057,972
"455",2959,3917,2717,2413,7192,4091,1723,2259,1548
"456",658,977,698,571,1737,1074,466,504,399
"457",417,694,1001,975,1182,684,537,325,216
"458",2207,1783,2246,2451,4219,3587,2061,874,842
"459",718,725,501,448,1204,925,453,513,444
"460",174,368,589,588,642,340,660,236,132
"461",869,1538,2227,1846,3357,1768,1946,1106,619
"462",7894,11155,15675,15669,29808,27728,14672,5661,4874
"463",7,6,9,6,16,12,7,1,8
"464",2966,3496,3411,2518,6919,5731,3572,1980,1466
"465",84,73,114,74,171,249,128,35,103
"466",0,0,0,0,2,0,0,0,0
"467",1198,4312,1870,1801,6762,2445,1422,2118,926
"468",4,51,233,320,133,22,231,82,16
"469",0,0,0,0,1,0,7,0,0
"470",53,520,2947,3020,803,214,2789,374,114
"471",828,1510,1608,1621,3066,1755,1476,877,669
"472",0,0,0,1,0,0,0,0,1
"473",3,3,69,90,26,14,69,3,0
"474",1333,1504,5606,4769,4183,3167,5906,694,663
"475",94,82,447,479,182,186,761,48,46
"476",470,623,4433,3671,1279,765,3757,311,263
"477",31,199,200,131,298,104,185,195,51
"478",1039,1830,1340,1010,2793,1547,972,1019,663
"479",570,941,1886,1750,1304,772,1877,620,348
"480",0,0,0,0,0,0,0,0,1
"481",0,0,0,0,0,0,0,0,0
"482",712,277,6428,6495,745,945,5079,246,472
"483",0,0,0,2,0,0,0,0,0
"484",0,0,0,0,0,0,0,0,0
"485",8,13,20,26,19,17,16,9,6
"486",1117,2153,3410,3076,4263,2235,2368,1379,877
"487",21,3,9,12,6,40,10,3,8
"488",3831,3925,7297,5079,8585,10359,8023,2485,3767
"489",928,854,2521,2534,1817,2557,2458,323,540
"490",5,10,94,144,47,76,194,91,45
"491",0,1,0,0,1,0,0,0,0
"492",1,0,4,2,9,7,5,1,2
"493",339,252,433,292,631,792,385,171,185
"494",1863,2940,1721,1404,5317,3609,1847,1930,1295
"495",4,0,0,0,1,1,0,0,0
"496",385,482,764,589,1132,800,645,329,251
"497",0,0,0,0,0,0,0,0,0
"498",44,58,790,924,144,192,755,47,47
"499",1,1,0,3,0,1,1,0,0
"500",5369,5308,12160,7803,14493,11864,12522,4300,3780
"501",0,0,0,0,0,0,0,0,0
"502",10,17,674,342,22,72,650,19,13
"503",0,0,0,0,0,0,0,0,0
"504",4996,2225,1850,2663,3182,3158,1107,1297,2592
"505",70,23,6,6,30,46,8,17,32
"506",1265,3643,2592,3075,6535,2428,2328,2208,889
"507",15,15,3,0,15,15,9,6,4
"508",15,20,106,172,34,48,151,6,20
"509",7,12,148,151,23,46,226,9,9
"510",1068,1470,2757,2677,3538,2520,2567,1053,741
"511",1,2,2,1,1,3,3,0,1
"512",40,68,99,42,102,56,57,26,31
"513",4032,2893,5746,4125,8439,8815,6762,1672,2574
"514",28,9,53,93,30,33,65,2,23
"515",2,0,0,0,1,1,0,0,0
"516",339,80,7,8,102,66,4,9,11
"517",0,0,2,0,1,1,2,1,0
"518",0,0,0,1,1,2,0,1,0
"519",9,11,109,115,11,40,77,7,12
"520",0,0,1,1,2,0,3,0,2
"521",0,0,0,0,0,0,0,0,0
"522",8744,11186,19025,16645,25635,18450,20999,7387,5953
"523",44,120,68,23,218,92,41,82,35
"524",0,0,3,4,2,1,6,0,0
"525",0,0,1,0,0,1,1,0,0
"526",0,1,0,1,1,0,0,0,0
"527",7,3,15,16,33,28,25,7,16
"528",0,0,0,0,0,0,0,0,0
"529",0,0,0,0,1,2,0,0,1
"530",9,6,8,5,6,10,8,2,3
"531",3,3,1,0,14,9,0,2,1
"532",5,3,7,3,6,5,3,0,3
"533",1,0,0,0,7,1,0,0,1
"534",99,91,128,115,216,238,186,80,73
"535",423,259,552,505,588,527,487,164,254
"536",1,0,0,2,0,1,1,0,0
"537",0,1,1,0,0,0,0,1,0
"538",70,145,182,222,356,305,258,118,107
"539",7,7,18,19,42,41,22,8,14
"540",6049,5664,8530,5935,14088,13007,9646,4379,4125
"541",4095,8090,21699,19457,14599,6886,17437,4541,2281
"542",0,1,0,10,0,1,11,0,0
"543",4,4,8,24,2,2,16,1,0
"544",0,0,8,10,2,0,13,0,0
"545",67,9,385,427,22,31,201,3,34
"546",3958,5610,11241,10043,14691,9867,9954,3167,2677
"547",14,5,31,23,26,51,60,10,16
"548",230,336,896,1020,754,445,861,212,149
"549",0,1,3,3,5,0,2,2,0
"550",61,762,82,78,2408,308,154,571,119
"551",1,0,2,0,0,1,0,0,0
"552",41435,28429,100010,70934,82601,73000,84667,18877,20980
"553",44,22,103,32,22,71,95,10,32
"554",3,1,2,1,0,1,3,0,0
"555",24,20,59,43,45,36,35,11,11
"556",0,2,0,1,0,1,0,1,1
"557",0,1,0,0,2,0,0,0,0
"558",5400,9190,18565,17077,21838,12890,15560,7152,5503
"559",139,421,812,709,547,200,407,203,87
"560",230,343,752,620,659,428,496,187,149
"561",5,43,182,172,32,13,101,4,4
"562",857,1020,1014,706,2317,1605,995,658,578
"563",0,0,2,1,0,2,0,0,0
"564",2,0,1,1,0,2,4,0,0
"565",0,0,2,4,0,1,3,0,0
"566",1,1,100,66,3,4,137,0,1
"567",2,6,14,3,3,2,12,0,1
"568",0,0,0,0,0,1,0,0,0
"569",0,0,0,0,0,0,0,0,0
"570",1785,2075,4535,3842,5495,3589,4458,1294,1092
"571",181,108,323,263,145,395,338,34,74
"572",2467,3277,2817,2298,5909,3895,2770,2502,1804
"573",15,14,62,94,26,42,69,21,16
"574",77,146,14,6,310,57,10,77,33
"575",896,1251,112,91,2540,1322,84,747,568
"576",8,19,2,1,17,7,1,17,8
"577",44,38,134,23,55,31,64,11,9
"578",45,46,8,7,137,57,11,51,42
"579",8,4,55,29,35,26,51,15,16
"580",946,1390,1893,1448,2703,1836,2482,1165,685
"581",11,3,7,7,8,19,14,6,5
"582",10,17,28,28,35,27,27,20,11
"583",4,2,1,3,3,6,2,2,2
"584",4898,3509,3875,3442,8538,7753,4310,2273,2579
"585",428,394,1208,1111,925,831,1209,260,292
"586",0,0,0,0,0,0,0,0,0
"587",0,0,0,0,0,0,0,0,0
"588",0,0,2,0,1,2,0,3,1
"589",5,5,1153,809,9,55,1039,4,3
"590",9,12,2083,1607,16,111,2193,15,20
"591",0,0,3,1,0,0,2,0,0
"592",0,0,2,1,0,0,0,0,0
"593",5,12,19,27,25,2,31,8,2
"594",0,0,3,5,0,1,5,11,2
"595",1,3,21,22,6,2,66,0,0
"596",282,315,765,513,565,354,540,196,178
