"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"7879",3,0,5,3,7,16,7,2,9
"7880",7,2,6,1,6,13,5,3,7
"7881",3,0,2,0,0,2,2,1,3
"7882",817,335,901,364,644,1606,804,347,750
"7883",0,0,0,0,0,0,0,0,0
"7884",0,1,1,1,3,1,1,0,0
"7885",0,0,0,0,0,0,0,0,0
"7886",408,145,8210,8288,265,1037,9963,49,195
"7887",0,0,1,3,0,0,2,0,0
"7888",0,1,4,0,4,0,0,27,1
"7889",197,309,515,455,616,289,311,222,131
"7890",368,399,1096,1031,862,775,705,251,254
"7891",47,54,102,68,69,39,49,67,22
"7892",0,0,0,0,0,0,0,0,0
"7893",0,0,0,0,0,0,0,0,0
"7894",49,374,949,976,1175,398,800,359,150
"7895",498,3340,353,323,5195,1235,219,2232,723
"7896",109,646,3185,2878,1091,371,3411,672,221
"7897",4672,9193,7160,5713,21879,14537,8604,7287,4351
"7898",213,537,3028,2491,1352,704,3317,345,216
"7899",132,40,25,37,69,184,32,22,47
"7900",3,0,0,0,1,2,0,0,0
"7901",0,0,0,0,1,0,0,1,0
"7902",5302,9130,15410,10023,17055,14073,17083,7151,4568
"7903",2,2,1,2,1,3,1,4,2
"7904",720,579,3151,3315,1883,1593,3061,244,374
"7905",0,0,0,0,0,0,0,0,0
"7906",9637,10762,26442,18273,25076,18734,28856,5504,5526
"7907",6761,5699,7176,6629,14660,13514,6658,3123,3648
"7908",2166,1105,612,515,2179,3157,798,864,1360
"7909",2343,3108,4844,4923,7823,5100,4215,2219,1706
"7910",16,10,33,20,34,32,43,6,11
"7911",14385,4157,8545,7837,14011,24498,10347,2125,7078
"7912",673,1104,1984,2012,2395,1282,1366,680,422
"7913",1,0,0,1,0,3,5,0,0
"7914",0,3,12,15,5,4,9,4,3
